Category,Question,Solution,Interviewer,Company
Database,Indexing,,,SSI
Database,"Q6 write a query to display product name and category name where product id is 1. tables name are product, category and product category",,,Smaritan Technologies
Database,"Q7: design database of university its primary keys foreign keys of student, teachers and courses and also write usecases",,,Smaritan Technologies
Database,Design database of tajir app,,,Tajir
Database,Diff between dbms and rdbms,,,Tbox Solutionz
Database,What is sql,,,Tbox Solutionz
Database,Extension of nosql,,,Tbox Solutionz
Database,What format data is stored in no sql,,,Tbox Solutionz
Database,Sql/rdb questions (5),,,Techlogix
Database,Write a sql query to display frequency of values of a column having frequency greater n 1,,,TechnoCares
Database,What is left and right outer join,,,TechnoCares
Database,"Access time: array elements can be accessed in constant time with an index, while accessing an element",,,Technosoft
Database,"Database events, such as data modification, insertion, or deletion. the trigger can be set to execute",,,Technosoft
Database,Either before or after the database event occurs.,,,Technosoft
Database,Indexing in sql.,,,Technosoft
Database,Difference between inner join and outer join.,,,Technosoft
Database,Delete the whole table from sql.,,,Technosoft
Database,Remove a single row from sql table.,,,Technosoft
Database,How to delete a column from sql table,,,Technosoft
Database,What are acid properties,,,Technosoft
Database,What ara transaction in database,,,Technosoft
Database,"Primary key enforces data integrity, while secondary keys optimize database operations.",,,Technosoft
Database,Q) sql queries type?,,,Technosoft
Database,The primary key.,,,Technosoft
Database,"The primary key, meaning t it is not fully dependent on the primary key.",,,Technosoft
Database,"Dependency, and to improve data integrity. there are several normalization types, including:",,,Technosoft
Database,Q151) normalization?,,,Technosoft
Database,When to use sql and when to use mongodb.,,,Technosoft
Database,How to map many to many in database,,,Technosoft
Database,Normalization,,,Technosoft
Database,Clustered indexing,,,Technosoft
Database,Indexing,,,Technosoft
Database,A database query is slow. what could be the reasons?,,,Technosoft
Database,"Suppose two tables, employee and department. write a query t counts the number of employees in each department. if a department has no employee  its count should be shown 0.",,,Technosoft
Database,Nosql and sql characteristics in mcqs,,,Technosoft
Database,Department with highes sum of salaries wrt employee table and department table using join,,,Technosoft
Database,Query to show names of active female employees  earning more n 20k,,,Technosoft
Database,Indexing in db,,,Technosoft
Database,How we can optimize a query?,,,Technosoft
Database,What the consistency in acid do give a real life example where consistency property is appying,,,Technosoft
Database,What is transaction,,,Technosoft
Database,Query from many to many table like fetch all the enrolled courses of a student,,,Technosoft
Database,Fill factor in indexing,,,Technosoft
Database,Acid properties?,,,Technosoft
Database,What is transaction?,,,Technosoft
Database,Behavior of left outer join,,,Tintash
Database,Left outer join query on tables,,,Tintash
Database,Acid properties,,,Tintash
Database,Design schema for food panda,,,Tintash
Database,Design schema for car booking app,,,Tintash
Database,"Patient, doctor, appointment schema + sql queries on t",,,Tintash
Database,What is primary key?,,,Tintash
Database,Draw erd for a restaurant,,,Tintash
Database,Write a query on above designed database,,,Tintash
Database,"Problem: given an array, calculate and store (product of all entries of array except ith index) at ith index",,,Tintash
Database,What is normalization,,,Tintash
Database,"Your dream 5 companies, if any? are you too specific about the company you want to join?",,,Tintash
Database,Types of normalization,,,Tintash
Database,"Why we use database instead of files, benefits of database, cost of database and vice versa.",,,Tintash
Database,Can we run sql queries on nosql databases,,,Tintash
Database,"What are dml/ddl keywords, separrate them",,,Tintash
Database,Find the index of last occurance of a target number from the given array.,,,VentureDive
Database,Sql query to get a row from table. (exact yaad nhi he).,,,VentureDive
Database,Difference between sql and no sql,,,Viteace
Database,What is indexing,,,Viteace
Database,Or same agar b ke end se search karna ke kya a uska friend hai tu tb kya query ho g,,,Viteace
Database,Say agar mene search karna hai ke kya a b ka friend hai ? tu what query will i use.,,,Viteace
Database,Difference between stored procedures and triggers,,,Viteace
Database,Advantage and disadvantages of indexing,,,Viteace
Database,Unique vs primary key - indexing,,,Xavor
Database,Normalization in detail,,,folio3
Database,"Customer,orders, order details are the tables write a query to give ordersdate and customer names between 1st feb 2022 and 1st dec 2022",,,folio3
Database,Given an array(sorted or unsorted) and a target! return indexes which will sum to target in o(n),,,folio3
Database,If you have large database and there are so many joins and sunbqueries there are indexing too in it and now you have to write a querry ...lkin query ase likhni h k hme fast retrieval ho ske...tu kase likhenge possible solutions btae...,,,folio3
Database,Diff between user defined func and stored procedure,,,folio3
Database,Diff between view and stored procedure and when to use them,,,folio3
Database,Stored procedure with e.g,,,folio3
Database,Indexing in detail(type ) benifits etc,,,folio3
Database,Rotation of linkedlist in o(k). do rotation even if the index is greater. keep repeating it.,,,goSaas
Database,Write a query on it,,,i2c
Database,Cluster indexing,,,i2c
Database,What is primary key?,,,i2c
Database,What is composite primary key?,,,i2c
Database,Database*,,,i2c
Database,"Db: normal forms, er diagram, er schema (tables wala), sql query with joins",,,i2c
Database,Ask you to create its erd,,,i2c
Database,How to fast querying in database,,,i2c
Database,Normalization acid,,,i2c
Database,Index in db,,,i2c
Database,Primary key vs unique key,,,i2c
Database,Normalization disadvantages,,,i2c
Database,Indexing disadvantages,,,i2c
Database,Normalization,,,i2c
Database,What is indexing and its disadvantages,,hussain raza,i2c
Database,Indexing,,,i2c
Database,Left join,,,i2c
Database,Draw many to many relation simple erd,,,i2c
Database,Indexing,,,i2c
Database,What advantages and disadvantages  of indexing,,,i2c
Database,Write db query,,,i2c
Database,Draw erd for a library system where students can issue books,,,i2c
Database,Queries to write wrt to the erd and situations,,,i2c
Database,Indexing and why indexing (how memory would be managed) is it expensive... why..,,,i2c
Database,Advantages and disadvantages of indexing,,,i2c
Database,"Write db query : what is the result of select * from a,b where a has 10 rows and b has 20 rows",Ans=200 Rows (cartesian Product),alishan rao,i2c
Database,Stored procedures,,,i2c
Database,Indexing and types,,majid aziz,i2c
Database,Unique vs primary key,,majid aziz,i2c
Database,Write a query to get a list of employees working in a given department,,majid aziz,i2c
Database,Db schema and keys related questions,,Qasim raza,i2c
General Coding,If return type is change is the function still overridden,,,7 Vals
General Coding,Run time vs compile time error,,,7 Vals
General Coding,If return type is change is the function still overloaded,,,7 Vals
General Coding,Is size of 'char pointer' and 'int pointer' same?,,,Arbisoft
General Coding,Find the count of substrings in a string t's palindrome,,,Arrivy
General Coding,Why main function is static in java,,,BinaryBrix
General Coding,Find middle of linklist using 1 loop,,,Blackstack
General Coding,String palindrome,,,Blackstack
General Coding,Dangling pointer,,,BrainX
General Coding,Times. we will extract them in the sequence and order of the string as,,,CQTechnologies
General Coding,You can use vscode or ide for code hinting. you are not allowed to use google,,,CQTechnologies
General Coding,String.,,,CQTechnologies
General Coding,B. tests: write a function named pentwotimes(s);,,,CQTechnologies
General Coding,D. tests: make a function named largestconsec(arr) and print the 2 lines below,,,CQTechnologies
General Coding,"E. tests: test (input, expected output)",,,CQTechnologies
General Coding,I. you can change the input and match the expected output for only these,,,CQTechnologies
General Coding,I. there is only one palindrome in the string provided. you should not seek,,,CQTechnologies
General Coding,"Ii. the function name should not be changed, else the question will go",,,CQTechnologies
General Coding,Existed in the string).,,,CQTechnologies
General Coding,Make a function named missing(arr) and print these 5 lines below.,,,CQTechnologies
General Coding,Ii. input parameter string: “psxxxszzzpz”. here “pssp” is the correct answer.,,,CQTechnologies
General Coding,"Given an input parameter of a string, find characters t are not repeated more n",,,CQTechnologies
General Coding,What is the main function of the command interpreter?(to get and execute the next user-specified command),,,Cinnova
General Coding,What does the following piece of code do?,,,Cinnova
General Coding,Event loop,,,Cinnova
General Coding,Check if string is anagram,,,Codefulcrum
General Coding,String - common letters find,,,Denv Tech
General Coding,String is pallindrome or not,,,Denv Tech
General Coding,Write a function such t if we pass 100 it returns 101 and if we pass 101 it returns 100 without if else and ternary operator,,,Devsinc
General Coding,Memory leakage vs dangling pointer,"https://aticleworld.com/dangling-pointer-and-memory-leak/#:~:text=Generally%2C%20daggling%20pointers%20arise%20when,to%20deallocate%20the%20allocated%20memory.",,Devsinc
General Coding,Swap two integers without using 3rd variable,,,Devsinc
General Coding,Friend function ? why we use friend function?,,,Devsinc
General Coding,"Func a(x):
         x = x + 10
func b(&x):
       x = x + 15

driver code:
x = 10
funca(x)
print(x)
funcb(&x)
print(x)

what will the two print statements print?",,,Devsinc
General Coding,"Func a(int a, float b)
func a(float a, int b)

what is happening here? what if i call func a(1,1). which function will get called?
correct answer is upper func a will get executed.",actually this will give error becasue compiler has ambiguity deciding because both parameters match both intances of overloaded functions,,Devsinc
General Coding,"Function overloading and function overriding
- can we achieve function overloading by just changing the return type?",,,Devsinc
General Coding,Can we access non static data members in static function,,,EMPG
General Coding,What is static member function and static data member,,,EMPG
General Coding,What is function overriding,,,EMPG
General Coding,A function which returns 3 if receives 4 and returns 4 if receives 3.,,Maria Rafique,EMPG
General Coding,A function to calculate the square root of a number,,Maria Rafique,EMPG
General Coding,Write a program to detect a loop in a linkedlist,,,EMPG
General Coding,Operator overloading vs function overloading,,,EMPG
General Coding,What is function overloading,,,EMPG
General Coding,Anagram code,,,EMPG
General Coding,Write a function t will rotate left a linkedlist by n,,,Educative
General Coding,"Given a string we have to return first non repeating character e.g. input: 'educative' output: d, input: 'banana' output: b",,,Educative
General Coding,"Given a string of ternery operator, check it is valid or not. e.g. ""a?b:c"" (true) ""a?b?c:e:f?g"" (false) a?b?c:d:e(true)","Time O(n), Space O(1) try to focus on operators only",Muneeb Zia,Educative
General Coding,"A string is given containing parenthesis, valid or invalid, you have to return the max sum of consecutive valid braces",,,Educative
General Coding,"Write a function t finds out if a given number is strong or not, a number is strong if the sum of the factorial of its digits is equal to the number itself, e.g 145 is a strong number because 1!+4!+5!=145",,,Educative
General Coding,Given a string we have to return frequency of every word in string,,,Educative
General Coding,Remove all consecutive duplicates from a string for example abxzzzxyz = > abyz....... s is because when z is removed it will become abxxyz and now xx is removed and abyz is left so no consecutive char is left in s string,Stack,Zaid Tariq,Educative
General Coding,Full loop assessment,,,Educative
General Coding,Write function t take n as a parameter and return prime numbers equal to n.,,,Educative
General Coding,"Find the nearest multiple to x in the table of n. for example n= 4, x = 9, output = 8, handle negative inputs as well",,,Educative
General Coding,The pointer,,,Esketchers
General Coding,Output=423507,,,Esketchers
General Coding,Q10: replace a digit in a number without using string or character typecasting,,,Esketchers
General Coding,"Given two strings find if a string can be equals to
other string by inserting, deleting one character only.",,,Focusteck
General Coding,Apne btana kia scene hai hr string ka 0(n) me,,,Focusteck
General Coding,"Given a string ""[(){}]"" tell whether its a balanced brackets or not",,,Foomotion
General Coding,Find longest palindromic subsequence or a sequence in a string,,,Foomotion
General Coding,"Q2) recode parenthesis mismatch program, so t it will take half of the time compared to the given example.",,,INNOVICSOFT
General Coding,Code kr k do,,,Ismi Technology
General Coding,Code kr k do,,,Ismi Technology
General Coding,Pass by value kya hy pass by reference kya hy,,,Ismi Technology
General Coding,Code krdo,,,Ismi Technology
General Coding,Wo btaya code kro esko,,,Ismi Technology
General Coding,Uska code,,,Ismi Technology
General Coding,Code krdo eska,,,Ismi Technology
General Coding,Kehta 1 loop mn kro,,,Ismi Technology
General Coding,Longest non repeating substring (no code just logic),,,MergeStack
General Coding,Find the longest substring of a given string such t the substring does not have any repeating characters.,,,MergeStack
General Coding,No code just logic),,,MergeStack
General Coding,String palindrome,,,MergeStack
General Coding,Pass by reference and value,,,MergeStack
General Coding,Prime number code,,,MergeStack
General Coding,What is event loop?,,,MergeStack
General Coding,Event loop,,,MergeStack
General Coding,Find if string 2 is an anagram of string 1 or not.,,,MergeStack
General Coding,Final output = **/,,,MindStorm
General Coding,Output = 45*7*76/4,,,MindStorm
General Coding,"Given a string of integers, if two odd consecutive number exist add a * between them. if two even consecutive number exists add a / sign.",,,MindStorm
General Coding,"Pf(pointer, swap and other common interview questions)",,,NETSOL
General Coding,Reverse string,,,NETSOL
General Coding,Program to ellaboate overloadind and overridding,,,Nestosh
General Coding,Program for pallindrome,,,Nestosh
General Coding,Program to ellaboate interhirance,,,Nestosh
General Coding,Program to swap to swap to variable without using rd variable,,,Nestosh
General Coding,Function to find reverse of number( you can't convert number into string),,,OCloud Solutions
General Coding,Write a recursive function t will iterate until an input number's length gets 1,,,OCloud Solutions
General Coding,Reverse string without effecting special character,,,OCloud Solutions
General Coding,Reverse string without moving special charaters,,,OCloud Solutions
General Coding,Find loop in linklist and remove it,,,OCloud Solutions
General Coding,"Program to reverse the string while the special characters holds the position for example: input ab@k,w output wk@b,a",,,OCloud Solutions
General Coding,"Can we do all these with the same function? (yes, patch)",,,Qbatch
General Coding,Swap two numbers without using rd variable,,,Qbatch
General Coding,How to find out the datatype of a variable?,,,SSI
General Coding,Can we create a synchronous function using promises?,,,SSI
General Coding,C++ is a compile time language and python is an interpreting language. explain it,,,Slashnext
OOP,"Do teen sawal he yaad hain boht pehle diya 
supervised learning
curse of dimensionality
naives bayes
python simple code
mostly objective he 
difference between rnn and cnn
linear regression (random forest)
ml engineer ma yaad hai
inn concepts se mostly mcqs the
roc curve
language models konsy achay like bert lstm etc",,"Count Sort ka Question
Reverse an Integer without converting it into a string
Remove duplicate from a python list in O(n)
Array indexing ka tough mcq aya tha  

 Array indexing example
output of a[0] - 4[a] + (4+2)[a]
Is terha ka objective",Slashnext
General Coding,Q10: replace a digit in a number without using string or character typecasting,,,Smaritan Technologies
General Coding,Output=423507,,,Smaritan Technologies
General Coding,Write a function to multiply two matrices together,,,Tajir
General Coding,Count the non-palindromic letter in a string e.g. abba = 0 abcdba = 2,,,Tajir
General Coding,"Write a program, you are given an integer, return true if t integer ispalindrome and false otherwise.",,,Tbox Solutionz
General Coding,Write code for factorial using iterative and recursive approach,,,TechnoCares
General Coding,What is function overloading,,,TechnoCares
General Coding,St interview me code ni likhwaya koi,,,Technosoft
General Coding,A code to flip aray (left to right) no pseudocode allowed,,,Technosoft
General Coding,"An atm machine dispenses 50, 20 and 10 dollars notes and max limit is 500, write a code to print number of each note required for the entered amount and the total number of notes should be least possible",,,Technosoft
General Coding,A proper code will be given and you'll be needed to point out errors and give solution,,,Technosoft
General Coding,A pseudo code will be given and you will need to mention errors and solutions,,,Technosoft
General Coding,"Explain code for generating a password according to user requirement, if user want an 
alphabet,digit and special character in password and also gives pssword length",,,Technosoft
General Coding,"Switch_case(3) # output: ""you chose case 3""",,,Technosoft
General Coding,Function points (fp),,,Technosoft
General Coding,Use lowercase letters and underscores for variable and function names.,,,Technosoft
General Coding,Error finding,,,Technosoft
General Coding,Cohesion (code example),,,Technosoft
General Coding,Coupling (code example),,,Technosoft
General Coding,Aggregation (example in real life + code implementation ),,,Technosoft
General Coding,Composition (example in real life + code implementation ),,,Technosoft
General Coding,Association (example in real life + code implementation ),,,Technosoft
General Coding,Maintainable code,,,Technosoft
General Coding,Lines of code (loc),,,Technosoft
General Coding,Explain method overloading and overriding with code example,,,Technosoft
General Coding,One stackframe is allocated to a function of program or the complete program,,,Tintash
General Coding,Runtime and compile time errors?,,,Tintash
General Coding,"Shallow copy vs deep copy, write its code",,,Tintash
General Coding,Dry run a recursive code,,,Tintash
General Coding,What languages you can code in,,,Tintash
General Coding,"Input: [1, 2, 3, 4, 5], the expected output would be [120, 60, 40, 30, 24]",,,Tintash
General Coding,Find runtime and compile time errors in a given code.,,,Tintash
General Coding,Check wether a string is palindrome or not (asked 4 different methods),,,Tintash
General Coding,Swap the values of two variables without using 3rd variable.,,,VentureDive
General Coding,Say there is a social app and you have created a friendship function,,,Viteace
General Coding,Check if string is palindrom,,,Viteace
General Coding,Reverse a string,,,Viteace
General Coding,String say character a ki occurnce,,,Viteace
General Coding,String say character a ki occurnce,,,Viteace
General Coding,Dono me code re use ability hai how do they differ,,,Viteace
General Coding,Longest subsequence ka code likh ke daina  (proper code),,,Viteace
General Coding,Function overloading and overriding me difference,,,Viteace
General Coding,"Reverse an integar.
example:
input-> 567
output-> 765",,Arshad Majeed ,Xavor
General Coding,Given a string remove duplicates,,,Xavor
General Coding,Compile time binding,,,Xavor
General Coding,There were three coding problems. have to do code in google docs file which is shared by screen with him.,,,goSaas
General Coding,Language doesn't matter. do puesdo code and dry run and explain.,,,goSaas
General Coding,How to avoid implementation of a abstract function,,hussain raza,i2c
General Coding,Reverse a string,,,i2c
General Coding,String vs string builder,,,i2c
General Coding,Code to find count of each character in string,,,i2c
General Coding,Problem solving: chess men queen ki movement pe code likhwaya  (he was checking ke saray edge cases handle ho rahe ya nahi),,,i2c
General Coding,Explain composition and aggregation with code.,,,i2c
General Coding,String pool,,,i2c
General Coding,Critical section and its details (does it contain the shared resources only or it has code also),,,i2c
General Coding,How can we protect critical section write code of it,,,i2c
General Coding,Pass by value vs pass by reference,,,i2c
General Coding,Given a function and some variables where they are stored and how they stored (if you answer s may be a follow-up question would be why they are stored like s),,Aamir Saleem,i2c
General Coding,Static variable and method,,,i2c
General Coding,What is exception handling write code of it,,hussain raza,i2c
General Coding,Pass by reference and pass by value,,,i2c
General Coding,Null pointer,,,i2c
General Coding,Function overloading in details,,Majid aziz,i2c
General Coding,How to find loop in singly linkedlist,,,i2c
General Coding,What type of memories are generated in a program and what are their purpose,,,i2c
General/Unclassified,Interview,,,7 Vals
Database,Why subquery? write using joins,,,7 Vals
Database,Joins,,,7 Vals
General/Unclassified,Nd interview,,,7 Vals
OOP,Parent p = new child() s is upcasting or downcasting,,,7 Vals
OOP,What is upcasting and downcasting,,,7 Vals
General/Unclassified,Can static members call regular members,,,7 Vals
General/Unclassified,What are static vairables,,,7 Vals
General/Unclassified,If return type is changed is it still overriding?,,,7 Vals
General/Unclassified,What is virtual keyword,,,7 Vals
General/Unclassified,Why c++,,,7 Vals
General/Unclassified,Which language you prefer?,,,7 Vals
General/Unclassified,Aggregation vs composition,,,7 Vals
General/Unclassified,Questions hotay total-!,,,7 Vals
General/Unclassified,Problem solving questions,,,7 Vals
General/Unclassified,Vals sqa test,,,7 Vals
General/Unclassified,Question no. 3,,,7 Vals
General/Unclassified,Question no. 2,,,7 Vals
General/Unclassified,Question no. 1,,,7 Vals
OOAD,"Given a case study doctor and patient exists, an appointment a doctor can have many patients and a patients can have many doctors",,,7 Vals
General/Unclassified,Display name and id of doctor who has no appointment,,,7 Vals
General/Unclassified,What is your role in competitive programming,,,7 Vals
HR/Behavioral,I mentioned about my competitve programming interest,,,7 Vals
General/Unclassified,Arbisoft online technical interview (30+ mints),,,Arbisoft
General/Unclassified,Ood ka sawal jo attempt kia  test ma,,,Arbisoft
General/Unclassified,Databse definition,,,Arrivy
General/Unclassified,Nd max,,,Arrivy
General/Unclassified,Normalisation,,,Arrivy
Database,Transactions in databases,,,Arrivy
Database,Homogeneous and heterogenous databases,,,Arrivy
General/Unclassified,Sdlc and stlc,SQA Interview,,Arrivy
HR/Behavioral,Intro,,,Arrivy
General/Unclassified,Facade,,,Arrivy
General/Unclassified,Test cases for login  and whatsapp recording button,SQA Interview,,Arrivy
General/Unclassified,Basic concept of automation,SQA Interview,,Arrivy
General/Unclassified,Why sqa,SQA Interview,,Arrivy
General/Unclassified,Limitations of automation,SQA Interview,,Arrivy
General/Unclassified,Alpha beta testing,SQA Interview,,Arrivy
General/Unclassified,Scrum,SQA Interview,,Arrivy
General/Unclassified,Test scenarios,SQA Interview,,Arrivy
General/Unclassified,Unit testing,SQA Interview,,Arrivy
General/Unclassified,Integration testing,SQA Interview,,Arrivy
General/Unclassified,Black box testing,SQA Interview,,Arrivy
General/Unclassified,Test case,SQA Interview,,Arrivy
General/Unclassified,Validation and. verification,SQA Interview,,Arrivy
General/Unclassified,Regression and retesting,SQA Interview,,Arrivy
General/Unclassified,Sanity,SQA Interview,,Arrivy
General/Unclassified,Smoke,SQA Interview,,Arrivy
General/Unclassified,White box testing,SQA Interview,,Arrivy
General/Unclassified,Load and stress testing,SQA Interview,,Arrivy
General/Unclassified,Traceability matrix,SQA Interview,,Arrivy
General/Unclassified,Semester projects,SQA Interview,,Arrivy
HR/Behavioral,Intro,,,Ashlar
General/Unclassified,Real life examples from win the room,,,Ashlar
General/Unclassified,"And use simple words rather n too technical terms, like you're explaining to a layman",,,Ashlar
General/Unclassified,Analytical questions,,,Astera
Database,Outter joins,,,BinaryBrix
General/Unclassified,Lru page replacement algo,,,BinaryBrix
General/Unclassified,Some aptitude questions,,,Bitlatic
Database,Joins,,,Blackstack
General/Unclassified,Balls weight problem,,,Blackstack
General/Unclassified,Short the length of rope without cutting it,,,Blackstack
General/Unclassified,L 5l jug problem,,,Blackstack
General/Unclassified,"Two ropes, one rope takes 1 hour to burn completlely, you have to measure exactlt 45minutes",,,Blackstack
General/Unclassified,"Containers with wrong tags, you can check only one, make the tags correct",,,Blackstack
General/Unclassified,Analytical(alot),,,Blackstack
General/Unclassified,Brainx 1st technical interview,interviewer: Zubair,,BrainX
General/Unclassified,Write four types of keys and explain them,,,BrainX
General/Unclassified,Crud queries,,,BrainX
General/Unclassified,"Manufacture produce 27 balls in 1 hour, if there is 45 manufactures how many
ball they will make in 40 minutes.",,,BrainX
General/Unclassified,Palindrom problem,,,BrainX
General/Unclassified,Find duplicate number problem.,,,BrainX
General/Unclassified,Infix and postfix conversion,,,BrainX
General/Unclassified,Balls and one ball wight is more. find high weight ball in less terms?,,,BrainX
General/Unclassified,Anagram,,,BrainX
General/Unclassified,Interviewer may auto exit/part you if time is over. do not be surprised.,,,CQTechnologies
General/Unclassified,You are not supposed to ask any questions from the interviewer about test. if,,,CQTechnologies
General/Unclassified,"Wrong. : const myfunction = () => { return [1,2,3] }",,,CQTechnologies
General/Unclassified,Console.log(pentowtimes(“aaaaaaaa”)),,,CQTechnologies
General/Unclassified,Algo - 20 -,,,CQTechnologies
General/Unclassified,You do not need to submit the answers anywhere. we will observe the,,,CQTechnologies
General/Unclassified,Recording of your screen to assess.,,,CQTechnologies
General/Unclassified,You can leave the meeting room once you have completed the test. the,,,CQTechnologies
General/Unclassified,"Ii. if a character repeats more n 2 times, it should be ignored (like it never",,,CQTechnologies
General/Unclassified,For more n one. get / use the first one you find.,,,CQTechnologies
General/Unclassified,"Some is unclear, you should figure it out. if someng is incorrect in the question,",,,CQTechnologies
General/Unclassified,You can report it to the whatsapp number you got the invitation from.,,,CQTechnologies
General/Unclassified,C. constraints:,,,CQTechnologies
General/Unclassified,Console.log(pentowtimes(“psxxyyyyyxszzzpzyyyy”)),,,CQTechnologies
General/Unclassified,Iii. if s is “psxxyyyyyxszzzpzyyyy” - the printed value should be “pssp”,,,CQTechnologies
General/Unclassified,Print it in console.log(pentowtimes(s)) for each of the bellow.,,,CQTechnologies
General/Unclassified,Cfc” because it is also a palindrome. so you should return “cfc” as a,,,CQTechnologies
General/Unclassified,I.e do s,,,CQTechnologies
General/Unclassified,Console.log(pentowtimes(“abaacbfc,,,CQTechnologies
General/Unclassified,Questions,,,CQTechnologies
General/Unclassified,Algo - 25 -,,,CQTechnologies
General/Unclassified,Notfound” if not.,,,CQTechnologies
General/Unclassified,A. e.g,,,CQTechnologies
General/Unclassified,I. input : “abaacbfcb” here ‘a’ and ‘b’ are repeated more n 2 times. so,,,CQTechnologies
General/Unclassified,"We will ignore them. however, ‘c’ ‘f’ ‘c’ are not repeated more n 2",,,CQTechnologies
General/Unclassified,"Times, extract them in the same sequence and return if they are pelendrom. return",,,CQTechnologies
General/Unclassified,Disqualified.,,,CQTechnologies
General/Unclassified,"Iv. test( [5,2] , [3,4] )",,,CQTechnologies
General/Unclassified,"Console.log(missing([2,5] )) should print [3,4]",,,CQTechnologies
General/Unclassified,"Iii. test( [2,5] , [3,4] )",,,CQTechnologies
General/Unclassified,"Console.log(missing([1,7,3,5,2] )) should print [4, 6]",,,CQTechnologies
General/Unclassified,"Console.log(missing([1,6,3,5,2])) should print [4]",,,CQTechnologies
General/Unclassified,"I. test( [1,6,3,5,2] , [4] )",,,CQTechnologies
General/Unclassified,"Ii. test( [1,7,3,5,2] , [4, 6] )",,,CQTechnologies
General/Unclassified,"Console.log(largestconsec([2,1,0,20,8] )) should print 28",,,CQTechnologies
General/Unclassified,Consecutive numbers.,,,CQTechnologies
General/Unclassified,A. e.g:,,,CQTechnologies
General/Unclassified,"I. [2,0,1,100,200,10,7,2,300,2,10] here 100,200,10 = 310 is the correct",,,CQTechnologies
General/Unclassified,Largest sum.,,,CQTechnologies
General/Unclassified,"Ii. [2,1,0,20,7] = 0+20+7 = 27 is the answer t you should return.",,,CQTechnologies
General/Unclassified,B. assumptions:,,,CQTechnologies
General/Unclassified,"V. test( [99999997, 99999999] , [99999998] )",,,CQTechnologies
General/Unclassified,C. constraints:,,,CQTechnologies
General/Unclassified,Result to be incorrect,,,CQTechnologies
General/Unclassified,"Console.log(missing([5,2])) should print [3,4]",,,CQTechnologies
General/Unclassified,"I. [2,0,1,110,200,10,7,2,300,2,10] = 320",,,CQTechnologies
General/Unclassified,"Console.log(largestconsec([2,0,1,110,200,10,7,2,300,2,10])) should print",,,CQTechnologies
General/Unclassified,"Ii. [2,1,0,20,8] = 28",,,CQTechnologies
General/Unclassified,D. constraints.,,,CQTechnologies
General/Unclassified,Ii. it will not have negative numbers.,,,CQTechnologies
General/Unclassified,You are.,,,CQTechnologies
General/Unclassified,C. notes and provisions,,,CQTechnologies
General/Unclassified,"A. examples - [1,6,3,5,2]. here [4] is missing. [2,5] here 3 and 4 are missing so",,,CQTechnologies
General/Unclassified,Share your “full screen”. not just a tab or application but “full desktop”.,,,CQTechnologies
General/Unclassified,Do not turn off screen share at any point.,,,CQTechnologies
General/Unclassified,Algo - 20 -,,,CQTechnologies
General/Unclassified,"Console.log(missing([99999997, 99999999]) should print [99999998]",,,CQTechnologies
General/Unclassified,Test time: 1 hour (starting from the time of your booking (not the time of your,,,CQTechnologies
General/Unclassified,"Your screen will be recorded. if you do anyng contrary, you may get",,,CQTechnologies
General/Unclassified,Ii. if s is “aaaaaaaa” - the printed value should be “notfound”,,,CQTechnologies
General/Unclassified,I. if s is “abaacbfcb” - the printed value should be “cfc”,,,CQTechnologies
General/Unclassified,"Def solution(s):
    max_sum = 0
    current_sum = 0
    positive = false
    n = len(s)
    for i in range(n):
        item = s[i]
        if item < 0:
            if max_sum < current_sum:
                max_sum = current_sum
                current_sum = 0
        else:
            positive = true
            current_sum += item
    if (current_sum > max_sum):
        max_sum = current_sum
    if (positive):
        return max_sum
    return -1",,,Careem Codility
General/Unclassified,Middlewares?,,,Celestial Technology
Database,Mongodb vs mysql which one is better in your opinion and why?,,,Celestial Technology
General/Unclassified,Nd interview:,,,Celestial Technology
General/Unclassified,Hr kasi sath  interview,,,Celestial Technology
General Coding,Asynchronous functions?,,,Celestial Technology
General/Unclassified,What is jsx?,,,Celestial Technology
General/Unclassified,What is nodejs?,,,Celestial Technology
General/Unclassified,Nodejs:,,,Celestial Technology
Database,All types of joins,,,Cinnova
General/Unclassified,Association / composition / aggregation,,,Cinnova
General/Unclassified,Postorder traversal,,,Cinnova
General/Unclassified,What is redux,,,Cinnova
General/Unclassified,What is the full form of cocomo? (constructive cost estimation model),,,Cinnova
General/Unclassified,Express routers,,,Cinnova
OS,Which of the following part of a processor contains the hardware necessary to perform all the operations required by a computer?(data path),,,Cinnova
General/Unclassified,Test questions,,,Codefulcrum
General/Unclassified,Basic questions,,,Codefulcrum
General/Unclassified,"Dangling pointers, memory leak",,,Copy of Qbatch
General/Unclassified,Put patch post m diff,,,Copy of Qbatch
Database,Db joins - queries,,,Denv Tech
General/Unclassified,Transitive dependency,,,Devsinc
General/Unclassified,Bridge entity,,,Devsinc
General/Unclassified,How to apply constraints,,,Devsinc
General/Unclassified,How to implement manay to many relationship,,,Devsinc
General/Unclassified,"Diff between drop, truncate, delete",,,Devsinc
General/Unclassified,Triggers vs procedures,,,Devsinc
General/Unclassified,"Using given table, find the count of employees each manager is handling",,,Devsinc
General/Unclassified,Views,,,Devsinc
General/Unclassified,Difference between put and patch.,,,Devsinc
General/Unclassified,Difference between put and patch.,,,Devsinc
General/Unclassified,Devsinc 2nd technical interview:,,,Devsinc
General/Unclassified,Store procedures,,,Devsinc
General/Unclassified,Triggers,,,Devsinc
